cole_depto_ubicacion,cole_mcpio_ubicacion,estu_depto_presentacion,estu_depto_reside,fami_tienecomputador,fami_tieneinternet,punt_matematicas,punt_lectura_critica,punt_ingles,punt_c_naturales,punt_sociales_ciudadanas,punt_global,grupo_tec
SANTANDER,EL PLAYON,SANTANDER,SANTANDER,No,No,60.0,59.0,50.0,56.0,50.0,279.0,Sin acceso
SANTANDER,SAN JOAQUIN,SANTANDER,SANTANDER,No,No,30.0,30.0,44.0,38.0,38.0,174.0,Sin acceso
SANTANDER,SUCRE,SANTANDER,SANTANDER,No,No,51.0,59.0,44.0,55.0,52.0,267.0,Sin acceso
SANTANDER,SUCRE,SANTANDER,SANTANDER,No,No,51.0,59.0,44.0,55.0,52.0,267.0,Sin acceso
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,59.0,68.0,51.0,48.0,61.0,292.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,59.0,68.0,51.0,48.0,61.0,292.0,Computador + internet
SANTANDER,SAN VICENTE DE CHUCURI,SANTANDER,SANTANDER,No,No,51.0,43.0,40.0,41.0,43.0,221.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,78.0,62.0,76.0,68.0,68.0,348.0,Computador + internet
SANTANDER,PUENTE NACIONAL,SANTANDER,SANTANDER,No,No,26.0,45.0,34.0,36.0,37.0,179.0,Sin acceso
SANTANDER,PUENTE NACIONAL,SANTANDER,SANTANDER,No,No,26.0,45.0,34.0,36.0,37.0,179.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,54.0,43.0,60.0,55.0,36.0,240.0,Computador + internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,Si,Si,39.0,51.0,39.0,49.0,51.0,234.0,Computador + internet
SANTANDER,SAN VICENTE DE CHUCURI,SANTANDER,SANTANDER,No,No,63.0,69.0,49.0,52.0,53.0,293.0,Sin acceso
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,67.0,74.0,73.0,68.0,65.0,345.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,63.0,60.0,59.0,61.0,58.0,302.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,59.0,62.0,57.0,57.0,54.0,290.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,59.0,62.0,57.0,57.0,54.0,290.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,No,No,59.0,58.0,52.0,58.0,59.0,290.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,50.0,66.0,57.0,62.0,55.0,291.0,Computador + internet
